Year,Anomaly,Region
194801,-0.2,africa
194802,0.15,africa
194803,-0.79,africa
194804,-0.21,africa
194805,0.18,africa
194806,-0.24,africa
194807,-0.04,africa
194808,-0.11,africa
194809,-0.26,africa
194810,-0.25,africa
194811,-0.46,africa
194812,-0.2,africa
194901,0.09,africa
194902,-0.7,africa
194903,-0.1,africa
194904,-0.29,africa
194905,0.15,africa
194906,0.2,africa
194907,0.12,africa
194908,0.02,africa
194909,-0.13,africa
194910,0.0,africa
194911,0.39,africa
194912,0.24,africa
195001,-0.11,africa
195002,-0.32,africa
195003,-0.33,africa
195004,-0.19,africa
195005,-0.38,africa
195006,0.05,africa
195007,-0.19,africa
195008,-0.47,africa
195009,-0.15,africa
195010,-0.47,africa
195011,-0.27,africa
195012,0.11,africa
195101,-0.31,africa
195102,-0.18,africa
195103,0.41,africa
195104,-0.16,africa
195105,-0.01,africa
195106,-0.14,africa
195107,-0.11,africa
195108,0.13,africa
195109,0.02,africa
195110,0.09,africa
195111,-0.24,africa
195112,-0.55,africa
195201,0.16,africa
195202,-0.19,africa
195203,0.26,africa
195204,-0.12,africa
195205,0.06,africa
195206,0.2,africa
195207,0.09,africa
195208,-0.04,africa
195209,-0.01,africa
195210,0.26,africa
195211,-0.26,africa
195212,0.15,africa
195301,0.26,africa
195302,0.26,africa
195303,-0.42,africa
195304,-0.02,africa
195305,0.21,africa
195306,-0.36,africa
195307,-0.28,africa
195308,-0.29,africa
195309,-0.44,africa
195310,-0.02,africa
195311,-0.16,africa
195312,-0.24,africa
195401,-0.33,africa
195402,0.18,africa
195403,0.0,africa
195404,-0.54,africa
195405,0.0,africa
195406,-0.47,africa
195407,-0.66,africa
195408,-0.55,africa
195409,-0.42,africa
195410,-0.23,africa
195411,0.08,africa
195412,-0.06,africa
195501,0.48,africa
195502,0.37,africa
195503,-0.02,africa
195504,-0.43,africa
195505,0.02,africa
195506,-0.16,africa
195507,-0.06,africa
195508,-0.26,africa
195509,-0.24,africa
195510,-0.07,africa
195511,0.19,africa
195512,-0.34,africa
195601,-0.19,africa
195602,0.24,africa
195603,-0.14,africa
195604,-0.53,africa
195605,-0.36,africa
195606,-0.29,africa
195607,-0.39,africa
195608,-0.27,africa
195609,-0.46,africa
195610,-0.55,africa
195611,-0.12,africa
195612,-0.61,africa
195701,-0.56,africa
195702,-0.41,africa
195703,-0.4,africa
195704,-0.51,africa
195705,-0.32,africa
195706,-0.28,africa
195707,0.06,africa
195708,0.09,africa
195709,0.24,africa
195710,-0.02,africa
195711,0.61,africa
195712,0.25,africa
195801,0.62,africa
195802,0.12,africa
195803,0.49,africa
195804,0.59,africa
